ID,Distance,Elevation
144,918.2355689692519,18.716710960402033
145,924.6567967242815,19.382042255280197
146,931.0780244793114,19.150540540062824
147,937.499252234341,18.80686103352001
148,943.9204799893706,19.008262612547714
149,950.3417077444004,17.636964401109356
150,956.7629354994301,14.552641752432667
151,963.1841632544599,12.395848464183166
152,969.6053910094896,10.574622362562135
153,976.0266187645194,9.88278151962321
154,982.4478465195491,9.560905601987118
155,988.8690742745788,9.37589866792839
156,995.2903020296086,9.118377922292161
157,1001.7115297846383,9.07717286588695
158,1008.1327575396681,8.456894472907694
159,1014.5539852946978,8.813935124180832
160,1020.9752130497275,8.035966339964714
161,1027.3964408047573,7.530229378660019
162,1033.817668559787,8.368321229794917
163,1040.2388963148167,11.559768981932882
164,1046.6601240698465,15.992840492488973
165,1053.0813518248763,20.947594549937822
